chr1_565160_565494	chr1_565106_565543
chr1_569185_569620	chr1_569172_569649
chr1_713582_714671	chr1_713594_714546
chr1_752510_752903	chr1_752567_752893
chr1_762417_763297	chr1_762462_763237
chr1_801274_801313	chr1_800914_801415
chr1_804991_805709	chr1_805025_805582
chr1_839841_840956	chr1_839814_840933
chr1_842042_842557	chr1_841877_842534
chr1_848253_848576	chr1_848227_848548
chr1_856379_856834	chr1_856402_856829
chr1_858644_859419	chr1_858694_859388
chr1_873552_873915	chr1_873685_874150
chr1_875569_876254	chr1_875563_876206
chr1_876865_877278	chr1_876872_877268
chr1_894262_896579	chr1_894263_895015
chr1_894262_896579	chr1_895713_896318
chr1_901560_902674	chr1_901570_902650
chr1_911334_911886	chr1_911346_911857
chr1_919466_919918	chr1_919468_919909
chr1_934213_936599	chr1_935328_936456
chr1_937133_937626	chr1_937157_937618
chr1_948357_950042	chr1_948389_949981
chr1_954535_956148	chr1_954556_955671
chr1_968208_969139	chr1_968224_969039
chr1_974060_974526	chr1_974061_974528
chr1_975097_976529	chr1_975830_976500
chr1_994206_995445	chr1_994389_995320
chr1_998977_1000013	chr1_999109_1000017
chr1_1003822_1005977	chr1_1003386_1006268
chr1_1014904_1015862	chr1_1014885_1015855
chr1_1051056_1052456	chr1_1051064_1052267
chr1_1057370_1058079	chr1_1057407_1058105
chr1_1071764_1073128	chr1_1072668_1072980
chr1_1079339_1080094	chr1_1079421_1080059
chr1_1092630_1094066	chr1_1092636_1094030
chr1_1107111_1107703	chr1_1107067_1107500
chr1_1136266_1137298	chr1_1136445_1137265
chr1_1141743_1142556	chr1_1141826_1142521
chr1_1143316_1144704	chr1_1143326_1144661
chr1_1148082_1149489	chr1_1148087_1149249
chr1_1152022_1152823	chr1_1152352_1152572
chr1_1166621_1168087	chr1_1166733_1168035
chr1_1186165_1186728	chr1_1186204_1186695
chr1_1208540_1209937	chr1_1208782_1209819
chr1_1225548_1225954	chr1_1225538_1225954
chr1_1227113_1227642	chr1_1227138_1227638
chr1_1235506_1235716	chr1_1235623_1235669
chr1_1240605_1241761	chr1_1240618_1241412
chr1_1242733_1244878	chr1_1242792_1244539
chr1_1259609_1260906	chr1_1259634_1260734
chr1_1284321_1285504	chr1_1284340_1285516
chr1_1306483_1307867	chr1_1306534_1307858
chr1_1310020_1311307	chr1_1310211_1311214
chr1_1334249_1335567	chr1_1334272_1335597
chr1_1342228_1343402	chr1_1342256_1343362
chr1_1370698_1371314	chr1_1370869_1371173
chr1_1376214_1376681	chr1_1376221_1376681
chr1_1397920_1397942	chr1_1397912_1397972
chr1_1406409_1407563	chr1_1406663_1407397
chr1_1440063_1441115	chr1_1440077_1441236
chr1_1446735_1447987	chr1_1446769_1447783
chr1_1475849_1476205	chr1_1475846_1476220
chr1_1509284_1510897	chr1_1509564_1510766
chr1_1534915_1535573	chr1_1535021_1535396
chr1_1542436_1542898	chr1_1542448_1542896
chr1_1549567_1551859	chr1_1549583_1551826
chr1_1563983_1567716	chr1_1564158_1566257
chr1_1563983_1567716	chr1_1566888_1567049
chr1_1590149_1591073	chr1_1590215_1590985
chr1_1609017_1610693	chr1_1609035_1610751
chr1_1623741_1624866	chr1_1623729_1624881
chr1_1655488_1656318	chr1_1655418_1656336
chr1_1677046_1678145	chr1_1677697_1678098
chr1_1695607_1696134	chr1_1695646_1696082
chr1_1707058_1707458	chr1_1706913_1707507
chr1_1709485_1712437	chr1_1709612_1712407
chr1_1713925_1714733	chr1_1713910_1714576
chr1_1788757_1788876	chr1_1788543_1788998
chr1_1796224_1796400	chr1_1795958_1796618
chr1_1800943_1801245	chr1_1800851_1801284
chr1_1821243_1823926	chr1_1821354_1823431
chr1_1837607_1838111	chr1_1837627_1838125
chr1_1839898_1841299	chr1_1839923_1841239
chr1_1850176_1852391	chr1_1850240_1851413
chr1_1875358_1875796	chr1_1875358_1875789
chr1_1976060_1976875	chr1_1976199_1976708
chr1_1977904_1978256	chr1_1977887_1978255
chr1_1981107_1982426	chr1_1981215_1982333
chr1_2043816_2044241	chr1_2043642_2044372
chr1_2058513_2059005	chr1_2058315_2059009
chr1_2063923_2065484	chr1_2064266_2065494
chr1_2071150_2071731	chr1_2071135_2071741
chr1_2077718_2078457	chr1_2077697_2078064
chr1_2080021_2080777	chr1_2080071_2080615
chr1_2082228_2083188	chr1_2082381_2083149
chr1_2105733_2106132	chr1_2105704_2106151
chr1_2120617_2121676	chr1_2120753_2121477
chr1_2125802_2127234	chr1_2125807_2127215
chr1_2130282_2131227	chr1_2130438_2131194
chr1_2135968_2137373	chr1_2136068_2137228
chr1_2143850_2144664	chr1_2143997_2144541
chr1_2158533_2164794	chr1_2158719_2161226
